barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
LAS MARIAS;CORDOBA;450000.0;0.0;450000.0;275.0;35.0;275.0;1490.0;;1490.0;2
LAS MORAS;CORDOBA;310000.0;;310000.0;230.0;;230.0;1550.0;;1550.0;1
LAS PALMAS;CORDOBA;65651.0;23579.0;63000.0;558.0;385.0;437.0;499.0;280.0;454.0;61
LAS ROSAS;CORDOBA;167946.0;72104.0;159000.0;1362.0;735.0;1345.0;900.0;293.0;991.0;48
LICEO GENERAL PAZ;CORDOBA;49000.0;15910.0;42000.0;179.0;49.0;175.0;373.0;100.0;355.0;8
LOMAS DE LA CAROLINA;CORDOBA;551395.0;100681.0;580000.0;763.0;3296.0;369.0;1313.0;277.0;1328.0;81
LOMAS DE LOS CAROLINOS;CORDOBA;475000.0;88129.0;475000.0;311.0;58.0;305.0;1295.0;169.0;1343.0;4
LOMAS DE MANANTIALES;CORDOBA;145250.0;8421.0;145500.0;968.0;56.0;970.0;1148.0;176.0;1065.0;4
LOMAS DE SAN MARTIN;CORDOBA;137110.0;63142.0;149900.0;557.0;226.0;526.0;739.0;214.0;711.0;31
LOMAS DEL CHATEAU;CORDOBA;111645.0;28518.0;112000.0;779.0;243.0;667.0;880.0;111.0;880.0;31
LOMAS DEL SUQUIA;CORDOBA;77000.0;2828.0;77000.0;865.0;292.0;865.0;988.0;;988.0;2
LOMAS ESTE;VILLA ALLENDE;201000.0;95388.0;200000.0;295.0;203.0;223.0;908.0;261.0;898.0;10
LOMAS OESTE;VILLA ALLENDE;98500.0;44938.0;94000.0;493.0;470.0;354.0;665.0;326.0;540.0;8
LOMAS SUR;VILLA ALLENDE;131583.0;89257.0;100000.0;450.0;399.0;405.0;781.0;271.0;875.0;12
LOS ARBOLES;CORDOBA;550000.0;;550000.0;705.0;;705.0;1667.0;;1667.0;1
LOS BOULEVARES;CORDOBA;106436.0;63734.0;92000.0;359.0;301.0;255.0;642.0;333.0;514.0;58
LOS CAROLINOS;CORDOBA;241323.0;68682.0;235000.0;571.0;285.0;522.0;1102.0;339.0;1134.0;31
LOS CIELOS;CORDOBA;345000.0;;345000.0;406.0;;406.0;1232.0;;1232.0;1
LOS GIGANTES;CORDOBA;63000.0;19862.0;60000.0;302.0;155.0;320.0;515.0;142.0;562.0;9
LOS GRANADOS;CORDOBA;42367.0;11053.0;43000.0;187.0;87.0;176.0;397.0;52.0;391.0;15
LOS JACARANDAES;CORDOBA;44000.0;;44000.0;157.0;;157.0;220.0;;220.0;1
LOS MIMBRES;CORDOBA;360000.0;77782.0;360000.0;299.0;136.0;299.0;1203.0;24.0;1203.0;2
LOS NARANJOS;CORDOBA;91321.0;43042.0;82500.0;420.0;210.0;373.0;633.0;216.0;583.0;42
LOS NOGALES;CORDOBA;56000.0;12728.0;56000.0;318.0;144.0;318.0;439.0;;439.0;2
LOS OLMOS;CORDOBA;79333.0;35658.0;63500.0;347.0;228.0;250.0;590.0;476.0;440.0;6
LOS OLMOS SUD;CORDOBA;74000.0;57862.0;50000.0;809.0;834.0;516.0;450.0;93.0;450.0;3
LOS PARAISOS;CORDOBA;67013.0;21523.0;67000.0;324.0;121.0;312.0;426.0;166.0;401.0;29
LOS PINOS;CORDOBA;46500.0;;46500.0;363.0;;363.0;460.0;;460.0;1
LOS PLATANOS;CORDOBA;71997.0;51109.0;58000.0;306.0;182.0;261.0;489.0;241.0;483.0;31
LOS PRADOS;LA CALERA;80444.0;14867.0;76000.0;786.0;155.0;792.0;855.0;350.0;913.0;9
