id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo
48243107;DEPARTAMENTO;60000;31-07-2022;INMOBILIARIA;;;1;1;;NUEVA CORDOBA;CORDOBA;-31.4257986;-64.1851068;False
50092596;DEPARTAMENTO;60000;03-08-2022;INMOBILIARIA;45;45;1;1;;NUEVA CORDOBA;CORDOBA;-31.4313411;-64.1890443;False
51547938;TERRENOS;32500;24-04-2023;INMOBILIARIA;252;;;;;MANANTIALES;CORDOBA;-31.46821594;-64.27269745;False
51661059;DEPARTAMENTO;105000;12-05-2023;INMOBILIARIA;100;100;2;2;;CENTRO;CORDOBA;-31.412483;-64.19001;False
51211628;TERRENOS;173500;24-02-2023;INMOBILIARIA;1500;;;;;LA CASCADA COUNTRY GOLF;CORDOBA;-31.4645896;-64.2599471;False
51617200;DEPARTAMENTO;55000;11-05-2023;INMOBILIARIA;50;47;1;1;;GENERAL PAZ;CORDOBA;-31.4118533;-64.1581822;False
50144606;TERRENOS;24000;14-08-2022;INMOBILIARIA;250;;;;;TERRENO - CUESTAS DE MANANTIALES;CORDOBA;-31.4906239;-64.2643953;False
51146543;CASA;100000;05-03-2023;INMOBILIARIA;150;150;2;1;1;CASA - LA CALERA;LA CALERA;-31.355859;-64.315147;False
51995608;PH;170000;15-07-2023;PARTICULAR;140;140;3;2;1;VILLA ALLENDE GOLF;VILLA ALLENDE;-31.2829995;-64.2968203;True
46567464;DEPARTAMENTO;85000;31-07-2022;INMOBILIARIA;120;77;1;1;;LA CALANDRIA;CORDOBA;-31.4953062;-64.18852869999999;False
52016973;CASA;190000;18-07-2023;INMOBILIARIA;700;200;3;3;5;VILLA ALLENDE GOLF;VILLA ALLENDE;-31.2818888;-64.2951671;True
47481238;TERRENOS;70000;31-07-2022;INMOBILIARIA;150;150;;;;GENERAL PUEYRREDON;CORDOBA;-31.4011736;-64.1624844;False
52050998;DEPARTAMENTO;45000;27-07-2023;INMOBILIARIA;43;43;;;;NUEVA CORDOBA;CORDOBA;-31.4249302;-64.1925604;True
51926421;DEPARTAMENTO;45000;29-06-2023;INMOBILIARIA;60;60;1;1;;PROVIDENCIA;CORDOBA;-31.4030718;-64.1997885;True
49190493;CASA;170000;31-07-2022;INMOBILIARIA;332;227;4;4;;LOMAS DE SAN MARTIN;CORDOBA;-31.3845948;-64.2066217;False
